# unit|layout|first node|second node|third node|caption|additional worked prose (optional)
M01:00|Flow|Offer includes a gift|Interpret the applicable exception|Encode the adopted condition|A coding decision begins with a decision about meaning.|For a synthetic promotion offering a travel voucher, the first question is whether the relevant source treats that voucher as a gift or as a fee discount. A program can apply either classification consistently. Consistency becomes useful only after the classification and the offer's regulatory scope have been reviewed.
P-01-problem:00|Flow|Regulatory publication|Bank activity and responsible owner|Control and evidence of action|A publication becomes a banking task through its effect on an activity.|
P-01-problem:01|Branch|Which regulated role does the bank occupy?|Distribution: distributor requirements|Provision: product-provider requirements|An institution's name does not settle which regulated role it occupies.|A bank that distributes a fund and also provides a tokenised product may occupy two roles. Each role needs its own applicability assessment. A requirement imposed on the provider does not become a distributor requirement merely because both activities occur within the same group.
M01:01|Compare|22 named cases|729 abstract assignments|Independent legal judgments still needed|Three different denominators answer different questions.|If all 729 assignments pass, the evidence covers the chosen six-input formula. It does not supply 729 independently read legal provisions. A single omitted definition can affect every assignment simultaneously.
M01:02|Flow|Source and adopted reading|Typed rule and Java behavior|Bank facts and committed action|Meaning can change at each translation boundary.|A source can be read correctly while a host sends dollars into a field declared in cents. Conversely, exact arithmetic can faithfully execute a rule that omitted an exception. The investigation must locate which transition introduced the error before choosing a repair.
P-01-problem:05|Cycle|Compliance explains a change|Engineering implements it|Review discovers a lost exception|Repeated translation creates repeated opportunities for meaning to change.|
M01:03|Branch|18 paragraphs and 4 footnotes|One executable paragraph|Every other unit needs a disposition|Completeness needs a visible denominator.|A report saying that paragraph 10 was encoded can be accurate. A report saying that the circular was translated requires an account of all the remaining paragraphs and footnotes, including provisions outside the selected executable scope.
M01:04|Compare|Three readers agree|One shared extraction lacks a footnote|A separate inventory notices the gap|Agreement does not expose material absent from every reader's input.|
M01:05|Branch|One offer: discount plus voucher|Assess each benefit component|Assess the offer as a whole|The subject being classified changes the exception question.|Suppose an offer combines a fee reduction and a travel voucher. Showing that the fee reduction is a discount does not by itself classify the voucher. The adopted rule must say whether the exception attaches to each component or to the whole offer.
M01:06|Flow|Monday assessment|Wednesday correction effective Monday|Two linked assessments|Later knowledge changes a reassessment without changing what was known earlier.|
